,Mass g,Density g/cm3,Pressure dyn/cm2,Temperature K,Radius cm,Luminosity erg/s,Energy Generation Rate erg/s/g,Opacity,Del_ad,Del,Radiative or Convective
21,9.790298891853612e+30,79.68148435979245,1.8384031904322787e+17,17117358.839637663,3072648399.452916,6.183646311073458e+32,57.945223782170714,0.9867100979833009,0.4,0.5265195761466762,Convects
22,1.5398655024552166e+31,78.89783948214291,1.8083338224353814e+17,17004816.184559543,3580547167.7414765,9.316745601132003e+32,53.94411224272352,0.9941892902997616,0.4,0.5132440004624618,Convects
23,2.4448954026701194e+31,77.81436073109919,1.7670878385211862e+17,16848599.282622226,4188641687.2488556,1.3963653879775184e+33,48.97675608823721,1.0048079401820327,0.4,0.4964863322312549,Convects
24,3.79909278031668e+31,76.42207176202741,1.7146481095953123e+17,16646792.716599254,4868889303.461539,2.0201366654788315e+33,43.42842996652155,1.0189486813479576,0.4,0.4772966606824451,Convects
25,5.970793019802264e+31,74.50278451702073,1.6434044524492157e+17,16366607.692324193,5689532001.931461,2.8899329293114086e+33,37.05094898346679,1.0394128731259091,0.4,0.4546070044572954,Convects
26,9.448505586065998e+31,71.87312576964753,1.5477712924141197e+17,15978789.83196476,6677164510.175591,4.050205181667312e+33,30.15854129777063,1.0694509564047543,0.4,0.4294262003541548,Convects
27,1.4529113541458147e+32,68.5750287228921,1.431102524236386e+17,15485655.348806754,7778039082.75825,5.405039757574662e+33,23.661897727852878,1.1082019210028355,0.4,0.4047749049993577,Convects
28,2.2511030338462116e+32,64.05925587088804,1.2793457132234008e+17,14820334.173300387,9118831797.11768,7.022363597467951e+33,17.406591987284678,1.1639493268244794,0.4,0.3798922733217,Radiates
29,3.338140528856867e+32,58.54857288252916,1.1096970747909818e+17,14065875.84036151,10573862968.553638,8.616521487352654e+33,12.344581263244088,1.2320947718067714,0.4,0.3557060997161361,Radiates
30,4.984539827148906e+32,51.101245108248754,9.0241184152051e+16,13106302.970471326,12388327899.92318,1.0241658842860047e+34,7.813749681392491,1.3268947428434559,0.4,0.3289638657967436,Radiates
31,5.5692000000000005e+32,48.65232549572018,8.390740706053333e+16,12800040.026543738,12968736743.76403,1.0664812100041641e+34,6.692976413885342,1.3591230189726629,0.4,0.3209642534100611,Radiates
32,5.5692000000000005e+32,48.65222951106591,8.390723980633531e+16,12800039.745092297,12968737077.962141,1.0664812081487074e+34,6.692962369384381,1.35912204860548,0.4,0.32096341214041163,Radiates
33,8.365697156089588e+32,38.03420316964284,5.88715400011999e+16,11488729.57224296,15514309721.301447,1.1992396422909763e+34,3.2188246037354653,1.5207403678858566,0.4,0.29064228279376025,Radiates
34,1.1048953604760124e+33,29.236713745519367,4.090355435647325e+16,10384513.654500116,17816488174.331116,1.2607784154031493e+34,1.5518103482562788,1.6719885521887217,0.4,0.2647584507760904,Radiates
35,1.598428975239082e+33,16.04344056282458,1.8467776514037824e+16,8544095.538739039,22301790253.439987,1.3011530972609638e+34,0.3379690528689106,2.063377408222879,0.4,0.22963943483143032,Radiates
36,1.8898889622155955e+33,9.985941074520477,1.0061559645606372e+16,7478265.708304708,25501468811.621746,1.3071526992074766e+34,0.10793305530706139,2.4144782014882944,0.4,0.21196178979978558,Radiates
37,2.145840005723404e+33,5.747023757443999,5018560071964958.0,6480614.498959746,29097987500.544796,1.3087427019144582e+34,0.029189553823345895,2.9138411182577437,0.4,0.1994893395284163,Radiates
